file_index,frame_gap,deg,fps,omega (rad/s),dir,intended
3379,8,270,240,141.3716694,clock,top
3383,3,95,240,132.6450232,clock,ordinary
3384,2,80.00000 ,240,167.5516082,clock,top
3386,5,45.00000 ,240,37.69911184,clock,ordinary
3387,5,45.00000 ,240,37.69911184,clock,ordinary
3388,4,120.00000 ,240,125.6637061,clock,top
3389,6,180.00000 ,240,125.6637061,clock,top
3390,4,100.00000 ,240,104.7197551,counterclock,back
3391,5,170.00000 ,240,142.418867,counterclock,back
3392,3,95.00000 ,240,132.6450232,clock,top
3393,4,100.00000 ,240,104.7197551,clock,top
3395,4,125.00000 ,240,130.8996939,clock,top
3397,6,180.00000 ,240,125.6637061,clock,top
3398,3,95.00000 ,240,132.6450232,clock,top
3400,4,90.00000 ,240,94.24777961,clock,top
3402,4,130.00000 ,240,136.1356817,clock,top
3403,4,90.00000 ,240,94.24777961,counterclock,back
3406,3,100.00000 ,240,139.6263402,counterclock,back
3407,5,135.00000 ,240,113.0973355,counterclock,back
3408,3,80.00000 ,240,111.7010721,counterclock,back
3409,9,60.00000 ,240,27.92526803,clock,ordinary
3410,5,0.00000 ,240,0,clock,ordinary
3411,15,45.00000 ,240,12.56637061,clock,ordinary
3412,9,55.00000 ,240,25.59816236,clock,ordinary
3413,6,120.00000 ,240,83.7758041,counterclock,back
3414,5,215.00000 ,240,180.1179788,clock,top
3417,4,110.00000 ,240,115.1917306,clock,top
