x,y
55.5,365.0
61.0,366.0
71.0,369.0
78.0,372.0
88.0,375.5
94.0,378.0
103.0,381.5
111.0,384.0
118.0,387.0
126.0,391.0
135.0,393.0
0.0,0.0
150.0,399.0
158.0,402.5
167.0,407.0
175.0,411.0
185.0,413.5
193.0,420.0
200.0,422.5
208.0,428.0
215.0,432.0
224.0,437.0
233.0,442.0
241.0,446.0
248.0,450.0
256.0,455.0
264.0,461.0
273.0,465.0
280.0,471.0
286.0,478.0
292.0,484.0
302.0,489.0
310.0,495.0
318.5,501.0
325.0,507.0
332.0,512.0
340.0,516.0
347.0,525.0
356.0,531.0
363.0,537.0
371.0,545.0
379.0,551.0
386.0,559.0
394.0,565.0
402.0,572.0
410.0,579.0
416.0,587.0
424.0,594.0
431.0,601.0
438.0,608.0
446.0,616.0
453.0,625.0
461.0,632.0
468.5,641.0
475.0,650.0
482.0,659.0
489.0,665.0
